COD_DISTRIBUIDORA,COD_PRODUCTO,DESC_PRODUCTO,COD_EAN,NOM_PROVEEDOR,FACTOR_UNI_MIN,FACTOR_UNI_MAX
30001508,8305290,LAV LIQ SAP MANZANA 12X750 ML,N/A,ALICORP SAA,12,12
1000008739,8305301,LAV LIQ SAP PROF LIMON 4X5 LT,N/A,ALICORP SAA,4,4
1000007672,8305302,LAV LIQ SAP PROF MANZANA 4X5 LT,N/A,ALICORP SAA,4,4
1000011855,8305319,LAV SAP LIMON 24X200 GR,N/A,ALICORP SAA,24,24
1000024732,8305320,LAV SAP LIMON 12X330 GR,N/A,ALICORP SAA,12,12
1000008877,8306002,LEJIA SAP ROPA BLANCA 4X3785 ML,N/A,ALICORP SAA,4,4
1000010295,8306003,ROPA COLOR SAP 12X1000 ML,N/A,ALICORP SAA,12,12
1000018847,8306007,QUITAM ROPA COLOR SAP 4X3785 ML,N/A,ALICORP SAA,4,4
1000011384,8306010,QUITAM ROPA COLOR SAP 6X1893 ML,N/A,ALICORP SAA,6,6
1000024732,8306014,ROPA COLOR SAP 12X600 ML - DESCONT,N/A,ALICORP SAA,12,12
1000007672,8306016,SAP ROPA COLOR 24 X 250 ML - DESCONT,N/A,ALICORP SAA,1,1
1000007598,8306031,ROPA COLOR SAP 24X265 ML,N/A,ALICORP SAA,1,1
1000012434,8306032,ROPA COLOR SAP 12X550 ML,N/A,ALICORP SAA,12,12
1000007527,8306034,QUITAM ROPA COLOR SAP 6X1800 ML,N/A,ALICORP SAA,6,6
1000009913,8306037,ROPA COLOR SAP 12X930 ML,N/A,ALICORP SAA,12,12
1000018974,8309001,SPRAY SAP POTPURRI 12X360 ML,N/A,ALICORP SAA,12,12
1000019463,8309002,SAP SPRAY JARDIN DE ROSAS 12 X 360 ML,N/A,ALICORP SAA,12,12
1000008549,8309003,SPRAY SAP FRUTAS FRESCAS 12X360 ML,N/A,ALICORP SAA,12,12
1000023530,8309004,SPRAY SAP MANZANA EN FLOR 12X360 ML,N/A,ALICORP SAA,12,12
1000028585,8309005,SPRAY SAP BRISA MARINA 12X360 ML,N/A,ALICORP SAA,12,12
1000028588,8309006,SPRAY SAP AROMAS DE BOSQUE 12X360 ML,N/A,ALICORP SAA,12,12
1000021982,8309007,SPRAY SAP ARRULLOS DE BEBE 12X360 ML,N/A,ALICORP SAA,12,12
1000007880,8309008,SPRAY SAP ANTITABACO 12X360 ML,N/A,ALICORP SAA,12,12
1000008184,8309009,SPRAY SAP VAINILLA 12X360 ML,N/A,ALICORP SAA,12,12
1000004065,8309027,PERFUMATIC RPTO SAP LAVANDA 12X240 ML,N/A,ALICORP SAA,12,12
1000028794,8309029,PERFUMATIC RPTO SAP ROSAS 12X240 ML,N/A,ALICORP SAA,12,12
1000018366,8309048,SPRAY SAP MANZANAYCANELA 12X360 ML,N/A,ALICORP SAA,12,12
1000019379,8309051,PERFUMATIC RPTO SAP BEBE 12X240 ML,N/A,ALICORP SAA,12,12
30003902,8309131,SPRAY SAP COCO 12X360 ML,N/A,ALICORP SAA,12,12
1000008549,8311002,SILICONA AUTO SAP PUMP 6X250 ML,N/A,ALICORP SAA,6,6
1000011384,8311003,RENOV LLANTA SAP AUTO 12X360 ML,N/A,ALICORP SAA,12,12
1000007926,8311005,SILICONA+CERA SAP AUTO(200GR) 12X360 ML,N/A,ALICORP SAA,12,12
1000018847,8311013,SILICONA AUTO SAP LAVANDA 12X360 ML,N/A,ALICORP SAA,12,12
1000028584,8311017,SILICONA PROTECT AUTO SAP 12X650 ML,N/A,ALICORP SAA,12,12
1000028458,8311018,SILICONA AUTO SAP ANTITA 12X360 ML,N/A,ALICORP SAA,12,12
1000016655,8311019,SILICONA AUTO SAP CHICLE 12X360 ML,N/A,ALICORP SAA,12,12
1000028572,8311023,CHAMPU AUTO SAP FCO 12X500 ML,N/A,ALICORP SAA,12,12
1000028136,8312005,CERA SAP PASTA AMARILLA 36X300 ML,N/A,ALICORP SAA,36,36
1000008739,8312006,CERA SAP PASTA ROJO 36X300 ML,N/A,ALICORP SAA,36,36
1000028458,8312007,CERA SAP PASTA NEUTRAL 36X300 ML,N/A,ALICORP SAA,36,36
1000028585,8313005,SAP BETUN NEGRO N.4 12 X 100 ML - DESCONT,N/A,ALICORP SAA,12,12
1000028585,8313138,SAP BETUN NEGRO N.4 12 X 12 X 88 ML - DESCONT,N/A,ALICORP SAA,12,12
1000019379,8314002,SAP PA?O ABSORVENTE 8 X 20 UNID - DESCONT,N/A,ALICORP SAA,8,8
1000028572,8315000,LUSTRAMUEBLE LAVANDA PREMIO 12X360 ML,N/A,ALICORP SAA,12,12
1000010295,8315001,LUSTRAMUEBLE LIMON PREMIO 12X360 ML,N/A,ALICORP SAA,12,12
1000007926,8315003,LUSTRAMUEBLE LAVANDA PREMIO 12X280 ML,N/A,ALICORP SAA,12,12
1000019463,8315004,SAC. GRA. PRE LUSTR CREM LIMP 12X500 ML,N/A,ALICORP SAA,12,12
1000010077,8315010,WC SAP TANQUE AZUL(X2) 12X45 GR,N/A,ALICORP SAA,12,12
1000018617,8315026,WC SAP TANQUE AZUL 12X45 GR,N/A,ALICORP SAA,12,12
30007082,8315027,WC SAP WATERMATIC AZUL 6X110 GR,N/A,ALICORP SAA,6,6
1000028578,8315031,LIMPVIDRIOS SAP LAVANDA 4X5 LT,N/A,ALICORP SAA,4,4
1000018865,8315032,SACAGRASA SAP LIMON 4X5 LT,N/A,ALICORP SAA,4,4
1000007670,8315042,LIMPVIDRIOS SAP LAVANDA 24X500 ML,N/A,ALICORP SAA,24,24
1000024723,8315044,ANTIHONGO SAP GT 12X650 ML,N/A,ALICORP SAA,12,12
1000018866,8315045,LIMPVIDRIOS SAP LAVANDA GT 12X650 ML,N/A,ALICORP SAA,12,12
1000028662,8315046,SACAGRASA SAP NARANJA 12X650 ML,N/A,ALICORP SAA,12,12
1000010245,8315047,SACAGRASA SAP LIMON 12X650 ML,N/A,ALICORP SAA,12,12
1000024731,8315049,LIMPIALFOMBRA CHAMPU SAP 12X980 ML,N/A,ALICORP SAA,12,12
1000024166,8315054,LIMPIAMETAL PLATEX SAP 12X230 ML,N/A,ALICORP SAA,12,12
1000028589,8315063,LIMPIAMUEBLE CREMA LD PREMIO 12X360 ML,N/A,ALICORP SAA,12,12
1000012262,8315136,LIMPVIDRIOS SAP PROFESIONAL 4X5 LT,N/A,ALICORP SAA,4,4
1000024723,8316000,DESINF SAP LAVANDA 12X360 ML,N/A,ALICORP SAA,12,12
1000016707,8316006,DESINF SAP POTPOU 12X360 ML,N/A,ALICORP SAA,12,12
1000016655,8316007,DESINF SAP CITRICA 12X360 ML,N/A,ALICORP SAA,12,12
1000028136,8316014,DESINF SAP PINO NATURAL 4X5 LT,N/A,ALICORP SAA,4,4
1000034830,8316016,DESINF SAP LAVANDA 4X5 LT,N/A,ALICORP SAA,4,4
1000034819,8316020,DESINF SAP LIMON 4X3785 ML,N/A,ALICORP SAA,4,4
30003984,8316021,DESINF SAP LAVANDA 4X3785 ML,N/A,ALICORP SAA,4,4
1000021982,8316033,SACASARRO SAP 4X3600 ML,N/A,ALICORP SAA,4,4
1000019463,8316034,LIMPIADOR REP SAP POLVO COCINA 24X450 GR,N/A,ALICORP SAA,24,24
1000028458,8316035,LIMPIADOR REP SAP POLVO BA?O 24X450 GR,N/A,ALICORP SAA,24,24
1000018974,8316036,LIMPIADOR CREMOSO SAP 12X750 GR,N/A,ALICORP SAA,12,12
1000012343,8316037,LIMPIADOR TUB SAP POLVO COCINA 12X450 GR,N/A,ALICORP SAA,12,12
1000028586,8316038,LIMPIADOR TUB SAP POLVO BA?O 12X450 GR,N/A,ALICORP SAA,12,12
1000018866,8316042,DESINF SAP MANZANA 4X5 LT,N/A,ALICORP SAA,4,4
1000018352,8317002,LIMPTODO SAP FLORAL 12X900 ML,N/A,ALICORP SAA,12,12
1000009039,8317012,LIMPTODO SAP LIMON 4X3785 ML,N/A,ALICORP SAA,4,4
30007082,8317013,LIMPTODO SAP BEBE 4X3785 ML,N/A,ALICORP SAA,4,4
1000001852,8317014,LIMPTODO SAP LAVANDA 12X900 ML,N/A,ALICORP SAA,12,12
30003885,8317016,LIMPTODO SAP ROSAS 12X900 ML,N/A,ALICORP SAA,12,12
1000019448,8317017,LIMPTODO SAP ORQUIDEA 12X900 ML,N/A,ALICORP SAA,12,12
