COD_PROD,DESC_PROD,EAN_13,CATEGORIA_PROD,FAMILIA_PROD,MARCA_PROD,SEGMENTO_PROD,UND_X_CAJA,PESO_X_UND,PRESENTACION_PROD,ESTADO_PROD
8605005,JABON. TROME FLORAL 240GR 40BRR,0.0,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.24,240g,O
8605008,JABON. TROME LIMON 230GR 40BRR,7750243043922,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.23,190g,O
8605009,JABON. TROME FLORAL 230GR 40BRR,7750243045414,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.23,190g,O
8606,MAR.IN. LA PREF UNTABLE 90G 20BRR,7750151001434,Margarinas Maquila,La Preferida Domesti,La Preferida,Value,20,0.09,90g,0.0
8606016,JABON. JUMB JUMBO FLORAL 230GR 40BRR,7750243038188,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.23,190g,O
8606017,JABON. JUMB JUMBO LIMON 230GR 40BRR,7750243038195,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.23,190g,O
8606019,JABON. JUMB JUMBO ANTIBAC 230GR 40BRR,7750243051224,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.23,230g,O
8606020,JABON. JUMB JUMBO FLORAL 230GR 40BRR,7750243054270,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.23,190g,O
8606021,JABON. JUMB JUMBO LIMON 230GR 40BRR,7750243054256,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.23,190g,O
8606022,JABON. JUMB JUMBO ANTIBAC 230GR 40BRR,7750243054263,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.23,230g,O
8606023,JABON. TROME FLORAL 220GR 40BRR,7750243058131,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.22,190g,O
8606024,JABON. TROME LIMON 220GR 40BRR,7750243058148,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.22,190g,O
8606025,JABON. JUMB JUMBO FLORAL 220GR 40BRR,7750243058155,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.22,190g,O
8606026,JABON. JUMB JUMBO LIMON 220GR 40BRR,7750243058162,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.22,190g,O
8606027,JABON JUMBO FRESCURA INTENSA 220G 40BRR,7750243059459,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.22,190g,O
8606028,JABON TROME SAN JUAN 210GR 40BRR,7750243060899,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.21,240g,O
8606029,JABON TROME FLORAL 210GR 40BRR,7750243060905,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.21,190g,O
8606030,JABON TROME LIMON 210GR 40BRR,7750243060912,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.21,190g,O
8606031,JABON JUMBO FRESCURA INTENSA 210GR 40BRR,7750243061476,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.21,190g,O
8606032,JABON JUMBO FLORAL 210GR 40BRR,7750243061483,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.21,190g,O
8606033,JABON JUMBO LIMON 210GR 40BRR,7750243061490,Jabones de Lavar,Jabon Jumbo Clasico,Jumbo,Value,40,0.21,190g,O
8606034,JABON TROME FLORAL 190G 40BRR,7750243068659,Jabones de Lavar,Jabon Trome Clasico,Trome,Value,40,0.19,190g,O
