COD_DISTRIBUIDORA,COD_PROD_DISTRIBUIDOR,COD_PROD_MAESTRO,FECHA_REGISTRO,USUARIO
1000018352,4671,4300004,00:00.0,Alicorp
1000010077,3416,4300006,00:00.0,Alicorp
1000012343,3417,4300008,00:00.0,Alicorp
1000028572,3055,4300018,00:00.0,Alicorp
1000035585,3055,4300018,00:00.0,Alicorp
1000018861,30136,4302036,00:00.0,Alicorp
1000019463,3425,4302042,00:00.0,Alicorp
1000009549,27491,4302042,00:00.0,Alicorp
1000028858,209,4302043,00:00.0,Alicorp
1000028585,4475,4302045,00:00.0,Alicorp
30003885,4472,4302046,00:00.0,Alicorp
1000028584,4476,4302048,00:00.0,Alicorp
30003902,207,4302049,00:00.0,Alicorp
1000010013,201,4302053,00:00.0,Alicorp
1000008829,3468,4302054,00:00.0,Alicorp
1000008877,32171,4302064,00:00.0,Alicorp
1000018366,27852,4302071,00:00.0,Alicorp
1000008730,32172,4302074,00:00.0,Alicorp
1000018687,32211,4302083,00:00.0,Alicorp
1000028794,32173,4302084,00:00.0,Alicorp
1000009363,32174,4302095,00:00.0,Alicorp
1000028794,206,4302105,00:00.0,Alicorp
1000009263,27853,4302106,00:00.0,Alicorp
1000028579,29180,4302111,00:00.0,Alicorp
1000008877,4469,4302113,00:00.0,Alicorp
1000028574,203,4302116,00:00.0,Alicorp
30002600,3469,4302117,00:00.0,Alicorp
1000004314,4477,4302118,00:00.0,Alicorp
1000028586,205,4302119,00:00.0,Alicorp
1000012354,3349,4302121,00:00.0,Alicorp
1000019365,26788,4302127,00:00.0,Alicorp
1000009263,21948,4302129,00:00.0,Alicorp
30003902,32870,4302130,00:00.0,Alicorp
1000007747,32602,4302131,00:00.0,Alicorp
1000021615,3277,4302134,00:00.0,Alicorp
1000028662,22024,4302135,00:00.0,Alicorp
1000016655,33103,4302136,00:00.0,Alicorp
1000012287,3275,4302137,00:00.0,Alicorp
1000019463,32184,4302139,00:00.0,Alicorp
1000016707,32184,4302139,00:00.0,Alicorp
1000024723,3423,4302140,00:00.0,Alicorp
1000028588,32177,4302143,00:00.0,Alicorp
1000029670,33041,4302146,00:00.0,Alicorp
1000018850,31173,4302147,00:00.0,Alicorp
1000028587,32189,4302148,00:00.0,Alicorp
1000018687,30937,4302150,00:00.0,Alicorp
1000010295,3424,4304015,00:00.0,Alicorp
1000029697,32175,4304016,00:00.0,Alicorp
1000009549,30139,4304017,00:00.0,Alicorp
1000028585,3480,4304018,00:00.0,Alicorp
1000007926,27854,4304020,00:00.0,Alicorp
1000008859,32178,4304026,00:00.0,Alicorp
1000028760,32179,4304027,00:00.0,Alicorp
1000002120,217,4304074,00:00.0,Alicorp
1000028588,3422,4304076,00:00.0,Alicorp
30002600,28462,4305025,03:38.8,Alicorp
1000008730,30686,4305034,00:00.0,Alicorp
1000007527,30687,4305035,00:00.0,Alicorp
1000007670,30688,4305037,00:00.0,Alicorp
1000020099,32200,4305039,00:00.0,Alicorp
1000004314,32185,4305042,00:00.0,Alicorp
1000028129,30484,4305065,00:00.0,Alicorp
1000028662,32186,4305066,00:00.0,Alicorp
1000029670,32188,4305067,00:00.0,Alicorp
1000012343,32188,4305067,00:00.0,Alicorp
1000028584,30673,4305068,00:00.0,Alicorp
1000016655,32182,4305069,00:00.0,Alicorp
1000018310,32183,4305071,00:00.0,Alicorp
1000008877,35044,4305072,40:31.1,Alicorp
1000009232,22249,4314008,00:00.0,Alicorp
1000012077,21947,4314011,00:00.0,Alicorp
1000011384,26718,4314019,00:00.0,Alicorp
1000010013,3274,4314022,00:00.0,Alicorp
1000028858,22025,4314023,00:00.0,Alicorp
1000020428,26715,4314024,00:00.0,Alicorp
1000012329,26719,4314025,00:00.0,Alicorp
1000018847,35207,4319003,15:37.0,Alicorp
1000009913,24104,4400002,00:00.0,Alicorp
1000012343,24172,4400009,00:00.0,Alicorp
30003902,24173,4400010,00:00.0,Alicorp
30002575,31350,4400042,00:00.0,Alicorp
1000010295,24103,4400044,00:00.0,Alicorp
1000004065,24178,4400108,15:37.0,Alicorp
1000028587,30680,4400108,00:00.0,Alicorp
1000031176,24146,4400109,00:00.0,Alicorp
1000024730,24176,4400112,00:00.0,Alicorp
1000010245,24105,4400114,00:00.0,Alicorp
1000024723,24175,4400117,00:00.0,Alicorp
1000028662,24008,4400128,00:00.0,Alicorp
1000012287,3941,4504041,00:00.0,Alicorp
1000023530,34922,4504050,00:27.8,Alicorp
1000028574,34923,4504051,00:27.8,Alicorp
1000012343,34924,4504052,00:27.8,Alicorp
1000029670,34920,4504053,00:27.8,Alicorp
1000007926,20572,4504063,00:00.0,Alicorp
1000018352,22626,4504071,00:00.0,Alicorp
1000029670,21666,4504119,00:00.0,Alicorp
1000009039,21666,4504119,00:00.0,Alicorp
1000019379,23143,4504120,00:00.0,Alicorp
1000012275,23143,4504120,00:00.0,Alicorp
1000016655,33659,4504122,00:00.0,Alicorp
1000028859,33659,4504122,00:00.0,Alicorp
1000009363,4541,4508023,00:00.0,Alicorp
1000028572,2327,4508024,00:00.0,Alicorp
1000009363,2360,4508025,00:00.0,Alicorp
1000028794,2325,4508026,00:00.0,Alicorp
1000008558,533,4508027,00:00.0,Alicorp
30002575,543,4508029,00:00.0,Alicorp
1000028587,22562,4508044,00:00.0,Alicorp
1000028584,33040,4508083,00:00.0,Alicorp
1000019463,34117,4508086,00:00.0,Alicorp
1000032002,35119,4508087,40:31.1,Alicorp
1000008829,35120,4508088,40:31.1,Alicorp
1000028579,30156,4508206,03:31.0,Alicorp
1000009039,27847,4508207,03:31.0,Alicorp
1000019381,30155,4508208,17:37.5,Alicorp
1000028858,4846,4508270,00:00.0,Alicorp
1000008721,32097,4508275,00:00.0,Alicorp
1000020099,2729,4508308,00:00.0,Alicorp
1000028136,2728,4508309,00:00.0,Alicorp
1000034819,35136,4508425,40:31.1,Alicorp
1000007926,28679,4508500,00:00.0,Alicorp
1000018847,2714,4508501,00:00.0,Alicorp
1000028579,2715,4508503,00:00.0,Alicorp
1000009039,2709,4508504,00:00.0,Alicorp
1000011384,30674,4508976,00:00.0,Alicorp
1000001852,30675,4508977,00:00.0,Alicorp
1000018974,30676,4508978,00:00.0,Alicorp
1000029956,32205,4508994,09:27.4,Alicorp
1000024730,32206,4508995,00:00.0,Alicorp
1000004065,33039,4508998,00:00.0,Alicorp
1000035866,31013,4509027,17:37.5,Alicorp
1000021615,20043,4527042,00:00.0,Alicorp
1000028136,4765,4527045,00:00.0,Alicorp
1000016707,20045,4527046,00:00.0,Alicorp
1000029956,703,4527048,00:00.0,Alicorp
1000028584,703,4527048,00:00.0,Alicorp
1000009263,24708,4527063,00:00.0,Alicorp
1000008730,2541,4527134,00:00.0,Alicorp
1000012329,25063,4527137,00:00.0,Alicorp
1000012077,23526,4527168,00:00.0,Alicorp
1000007880,23141,4527169,00:00.0,Alicorp
1000008558,19622,4527189,00:00.0,Alicorp
1000024166,21970,4527192,00:00.0,Alicorp
1000012371,35086,4527193,17:37.5,Alicorp
1000028136,3794,4527204,00:00.0,Alicorp
1000008549,1144,4527205,00:00.0,Alicorp
1000028575,2711,4527206,00:00.0,Alicorp
1000008829,4519,4527207,00:00.0,Alicorp
1000032002,34877,4527211,03:37.2,Alicorp
1000004314,19623,4527214,00:00.0,Alicorp
1000007672,33851,4527248,00:00.0,Alicorp
1000008721,28088,4527252,00:00.0,Alicorp
